"Index","year","month","qtr","days","washingtondc_supt","washingtondc_demt","washingtondc_rmrevt","washingtondc_demd","washingtondc_supd","washingtondc_occ","washingtondc_adr","washingtondc_revpar","washingtondc_demd_sa","washingtondc_demd_sf","washingtondc_demd_fct","washingtondc_occ_sa","washingtondc_occ_sf","washingtondc_occ_fct","washingtondc_adr_sa","washingtondc_adr_sf","washingtondc_adr_fct","washingtondc_revpar_sa","washingtondc_revpar_sf","washingtondc_revpar_fct","washingtondc_supd_sa","washingtondc_supd_sf","washingtondc_supd_fct","washingtondc_demar_sa"
2006-11-01,2006,11,4,30,2.75994,1.764463,255.908285,0.05881543333,0.091998,0.639312086,145.0346564,92.72240882,0.0659475826153579,0.891851239992275,NA,0.717905216353962,0.890524363713201,NA,145.382463017116,0.997607643935193,NA,105.419486380992,0.879556636093788,NA,0.0919621814609477,1.00038949205514,NA,24.0708676546056
2006-12-01,2006,12,4,31,2.848807,1.388557,180.197075,0.04479216129,0.091897,0.487417014,129.7729045,63.25352156,0.0633316043809067,0.707263959722202,NA,0.687222530226906,0.70925645269381,NA,144.287586181183,0.899404501348044,NA,98.8217447462857,0.64007695596143,NA,0.091966531211158,0.999243950921685,NA,23.1160355990309
2007-01-01,2007,1,1,31,2.859626,1.482468,206.335022,0.04782154839,0.092246,0.518413247,139.1834576,72.15454818,0.0637435701894,0.75021760230732,NA,0.690798286713737,0.750455316654292,NA,146.410220649939,0.950640310370012,NA,101.687018467479,0.70957482348719,NA,0.0922471221977109,0.999987834875667,NA,23.266403119131
2007-02-01,2007,2,1,28,2.58314,1.597958,238.72859,0.05706992857,0.092255,0.618610683,149.3960354,92.41798354,0.0641786342123818,0.889235635354011,NA,0.69301696010041,0.892634262385686,NA,149.928799275821,0.99644655410839,NA,102.87419384597,0.898359249146334,NA,0.0924367729473233,0.998033542912333,NA,23.4252014875194
2007-03-01,2007,3,1,31,2.856371,2.122997,328.969784,0.06848377419,0.092141,0.743249739,154.9553692,115.1705377,0.063794681345287,1.07350288058237,NA,0.689778433858448,1.07751953745849,NA,144.570561667568,1.07183210338707,NA,100.872843479569,1.14173977581316,NA,0.0922425353810856,0.99889925639331,NA,23.2850586910298
2007-04-01,2007,4,2,30,2.77029,2.138243,333.369304,0.07127476667,0.092343,0.771848074,155.9080535,120.3373307,0.0621888700322758,1.14610165183913,NA,0.674653152387498,1.14406650479368,NA,146.124251785542,1.06695535884637,NA,99.4630950536048,1.20986915433453,NA,0.0923818460581017,0.99957950550071,NA,22.6989375617807
2007-05-01,2007,5,2,31,2.872212,2.265711,363.108798,0.07308745161,0.092652,0.788838359,160.2626275,126.421308,0.064189082301852,1.13862745795777,NA,0.695239928388105,1.13462752467181,NA,149.330609393278,1.07320681373456,NA,104.751906319236,1.20686403180793,NA,0.0925378654215833,1.00123338244184,NA,23.429015040176
2007-06-01,2007,6,2,30,2.7801,2.21013,330.344019,0.073671,0.09267,0.794982195,149.4681394,118.8245096,0.0632155896110388,1.16539291104129,NA,0.68447563466225,1.16144703294264,NA,145.959972446417,1.02403513028115,NA,99.9771562395308,1.18851659788476,NA,0.0925255645637141,1.00156103274773,NA,23.0736902080292
2007-07-01,2007,7,3,31,2.881078,2.098002,283.88532,0.06767748387,0.092938,0.728200347,135.3122256,98.53440969,0.0612442390189433,1.10504244895698,NA,0.655818186062066,1.11036924939908,NA,147.839454854576,0.91526464118189,NA,99.1043930650551,0.994248656821086,NA,0.0928466175569556,1.00098423017929,NA,22.3541472419143
2007-08-01,2007,8,3,31,2.878102,1.945258,251.113764,0.06275025806,0.092842,0.675882231,129.0902101,87.24977919,0.062938320897376,0.997011950196722,NA,0.679205837044658,0.995106629149243,NA,147.152172758927,0.877256568351749,NA,100.308155487125,0.869817401848232,NA,0.0927837498632771,1.00062780537334,NA,22.9724871275422
2007-09-01,2007,9,3,30,2.78091,1.922759,297.392932,0.06409196667,0.092697,0.691413602,154.6698947,106.940869,0.0626361940107926,1.02324171642607,NA,0.676329421262666,1.02230300836118,NA,148.259894681562,1.04323488851928,NA,100.704263725836,1.06192990290007,NA,0.0927208448461008,0.999742831871945,NA,22.8622108139393
2007-10-01,2007,10,4,31,2.889572,2.236701,385.495875,0.07215164516,0.093212,0.774059619,172.3502046,133.4093336,0.0645494270849064,1.11777359487783,NA,0.693355314169573,1.11639674951808,NA,158.212476778938,1.08935912077791,NA,110.338592789432,1.20909040279856,NA,0.0932180018628545,0.99993561476609,NA,23.5605408859908
2007-11-01,2007,11,4,30,2.81142,1.719782,259.093679,0.05732606667,0.093714,0.611712942,150.6549545,92.15758549,0.0645601289516905,0.88794845364848,NA,0.689372858067733,0.887347006545328,NA,151.061776016957,0.997306919541898,NA,105.073963639117,0.877073466139728,NA,0.0936859458564906,1.00029944879408,NA,23.564447067367
