"Index","gdp","canada_gdp","mexico_gdp"
1995-04-01,2527.775,270249,1963.189
1995-05-01,2534.04525111926,270249.210259942,1964.9299357683
1995-06-01,2541.74669835758,270405.383899635,1978.34324956543
1995-07-01,2549.425,270694.5,1993.439
1995-08-01,2556.7082758193,271100.819397076,2004.07084279289
1995-09-01,2562.89381777341,271495.625821062,2011.82456582941
1995-10-01,2567.525,271732.2,2020.811
1995-11-01,2571.12968713622,271746.484715316,2034.68716481696
1995-12-01,2575.69388700283,271681.711592131,2050.61812746251
1996-01-01,2584.35,271740.2,2066.403
1996-02-01,2598.66545693882,272091.672452856,2078.94940984316
1996-03-01,2614.37713432279,272677.469383734,2088.16354820844
1996-04-01,2629.475,273526.5,2096.495
1996-05-01,2639.48015070148,274508.46527028,2104.40503237594
1996-06-01,2646.79470716383,275590.50660065,2114.66885892436
1996-07-01,2653.8,276599.8,2128.981
1996-08-01,2663.08658234464,277526.414441689,2149.36352068857
1996-09-01,2673.21212077862,278376.924881464,2170.98578774577
1996-10-01,2681.85,279195.2,2187.595
1996-11-01,2688.35612818742,280091.618531438,2196.57730406351
1996-12-01,2694.1435077937,281009.280998214,2201.08765890931
1997-01-01,2702.275,281997,2207.182
1997-02-01,2714.4751357736,283021.216283354,2219.03402025673
1997-03-01,2727.81449053268,284004.092774744,2233.20692726644
1997-04-01,2743.05,285194,2249.624
1997-05-01,2756.49195406032,286455.747286092,2263.95524218313
1997-06-01,2768.47089234768,287758.977093932,2278.12962170001
1997-07-01,2778,288879.5,2293.008
1997-08-01,2785.76606702668,289815.096383371,2310.62508302486
1997-09-01,2792.56092453833,290722.113433212,2328.36077544317
1997-10-01,2799.55,291823.5,2342.844
1997-11-01,2808.2025356509,293331.609847091,2352.97208832529
1997-12-01,2817.50678566677,294833.945366328,2359.16071719658
1998-01-01,2827.25,295987.5,2363.714
1998-02-01,2836.53369612258,296441.13329715,2368.04439431763
1998-03-01,2844.87065545714,296514.608894965,2372.25033275616
1998-04-01,2854.675,296665.8,2377.511
1998-05-01,2865.31320006898,297222.785373623,2383.14245627864
1998-06-01,2877.91575750428,298173.777459109,2388.00406156586
