"Index","year","month","qtr","days","totus_supt","totus_demt","totus_rmrevt","totus_demd","totus_supd","totus_occ","totus_adr","totus_revpar","totus_demd_sa","totus_demd_sf","totus_demd_fct","totus_occ_sa","totus_occ_sf","totus_occ_fct","totus_adr_sa","totus_adr_sf","totus_adr_fct","totus_revpar_sa","totus_revpar_sf","totus_revpar_fct","totus_supd_sa","totus_supd_sf","totus_supd_fct","totus_demar_sa","upmus_supt","upmus_demt","upmus_rmrevt","upmus_demd","upmus_supd","upmus_occ","upmus_adr","upmus_revpar","upmus_demd_sa","upmus_demd_sf","upmus_demd_fct","upmus_occ_sa","upmus_occ_sf","upmus_occ_fct","upmus_adr_sa","upmus_adr_sf","upmus_adr_fct","upmus_revpar_sa","upmus_revpar_sf","upmus_revpar_fct","upmus_supd_sa","upmus_supd_sf","upmus_supd_fct","upmus_demar_sa"
2005-11-01,2005,11,4,30,131.57613,78.749554,7200.286636,2.624985133,4.385871,0.598509426,91.43272908,54.72335017,2.85971565758513,0.9179182294007,NA,0.647278103807403,0.924655758443647,NA,93.5640380977026,0.977220852572897,NA,60.5918063006982,0.903147694564924,NA,4.41337176050846,0.993768764110348,NA,1043.79621501857,21.30846,13.250695,1070.27271,0.4416898333,0.710282,0.621851368,80.7710622,50.22759552,0.48329888405857,0.913906172492781,NA,0.679199275615152,0.915565416993103,NA,83.4139250592754,0.968316287030045,NA,56.7293927824074,0.885389267476459,NA,0.712010824808834,0.997571912183641,NA,176.404092681378
2005-12-01,2005,12,4,31,135.857965,68.905491,6254.335728,2.222757774,4.382515,0.507187716,90.76686977,46.0358413900001,2.85373966639797,0.778892973375388,NA,0.645276219592353,0.786000941302952,NA,94.3771255598378,0.961746495579071,NA,61.0203610474986,0.754434103629205,NA,4.41666119499271,0.992268776461408,NA,1041.61497823526,22.064591,11.348349,900.628254,0.3660757742,0.711761,0.514324014,79.36205117,40.81780868,0.475547748843205,0.769798143489268,NA,0.666449610568888,0.771737286425853,NA,84.3527652208118,0.940835205132309,NA,56.5254653767989,0.722113624503724,NA,0.713002106458225,0.998259322872986,NA,173.57492832777
2006-01-01,2006,1,1,31,135.622179,72.499635,6799.569393,2.338697903,4.374909,0.53457064,93.78763621,50.1361167,2.85521595039124,0.819096679072397,NA,0.645514939078586,0.828130547626134,NA,94.6635302769304,0.990747291334181,NA,61.1199089410994,0.820291089574685,NA,4.41801312963273,0.990243548770007,NA,1042.1538218928,22.065552,12.043382,979.861406,0.3884961935,0.711791999999999,0.545800169,81.3609836500001,44.4068385899999,0.480166495429628,0.809086425641577,NA,0.672558463932052,0.811528213932554,NA,84.5020929878548,0.962828029143536,NA,57.0177884465872,0.77882428974949,NA,0.713981054610211,0.996934015831265,NA,175.260770831814
2006-02-01,2006,2,1,28,122.54172,74.615461,7257.76573,2.664837893,4.37649,0.608898431,97.2689256699996,59.2268962,2.82449139909349,0.943475308105124,NA,0.638591008953718,0.953502981505538,NA,95.2607441092178,1.02108089307469,NA,60.8981148691549,0.972557136247228,NA,4.41870384327375,0.99044655519559,NA,1030.93936066912,19.862024,12.503211,1055.247895,0.44654325,0.709358000000001,0.629503368,84.3981513999999,53.12892055,0.476086957151927,0.937944724785857,NA,0.668168399015266,0.942132805035004,NA,84.903422881091,0.994048867949662,NA,57.0160390636206,0.931824122168795,NA,0.712297280264951,0.995873520303409,NA,173.771739360453
2006-03-01,2006,3,1,31,136.097254,89.220667,8796.339844,2.87808603199999,4.390234,0.655565519000001,98.5908325900004,64.6327503700002,2.81552557207469,1.02221981591849,NA,0.636305475319212,1.03026854934908,NA,95.6951011056699,1.03025997622525,NA,61.1187606898556,1.05749445244769,NA,4.42140457668128,0.992950073638211,NA,1027.66683380726,22.012635,15.201439,1304.485078,0.490368999999999,0.710085,0.690577889000001,85.81326268,59.26074175,0.475275081124712,1.03175827952008,NA,0.666834175874001,1.0356066230332,NA,85.4338221837616,1.00444133817895,NA,57.1698551229922,1.03657323641121,NA,0.712205459993923,0.997022685007299,NA,173.47540461052
2006-04-01,2006,4,2,30,132.43161,85.47246,8368.90812,2.84908200000001,4.414387,0.645408298000001,97.9135047700001,63.19418846,2.80795189213394,1.01464772526242,NA,0.634645008256759,1.01695954368696,NA,97.0063035558208,1.0093519820973,NA,61.7500353579709,1.02338708137829,NA,4.42261630639915,0.99813926738631,NA,1024.90244062889,21.2895,14.393393,1237.9028,0.479779766699998,0.70965,0.676079428999998,86.0049329599997,58.1461659499998,0.470484682419012,1.01975640149047,NA,0.661268315333817,1.02239803922664,NA,85.9422168742611,1.00072974712568,NA,57.0592566393131,1.01904878147217,NA,0.711869800086499,0.996881733027262,NA,171.726909082939
2006-05-01,2006,5,2,31,138.148772,89.005729,8670.38962,2.87115254800001,4.45641199999998,0.644274484999998,97.4138374800004,62.7612500200002,2.80075969341967,1.025133486013,NA,0.632405360323406,1.01876822275909,NA,97.1470738806415,1.00274597667951,NA,61.6139677934625,1.0186204892758,NA,4.42556897240086,1.00696927960935,NA,1022.27728809818,22.066327,15.073512,1311.973972,0.486242322600002,0.711817000000003,0.683100182000003,87.0383738000001,59.4559290300002,0.474392948758122,1.02497797210709,NA,0.666563992626002,1.02480810478354,NA,86.3261692225012,1.00825015848512,NA,57.6878811259822,1.03064851524286,NA,0.711501168662251,1.00044389433449,NA,173.153426296715
2006-06-01,2006,6,2,30,133.90638,94.286597,9235.983536,3.142886567,4.46354600000001,0.704123260999999,97.9564840599997,68.9734390300002,2.787769218806,1.12738405525049,NA,0.629128988012228,1.11920333416001,NA,97.9221516547052,1.00035060917999,NA,61.7255124032002,1.11742189484723,NA,4.42876235296356,1.00785403330869,NA,1017.53576486419,21.41541,16.079847,1433.191842,0.535994899999999,0.713847000000001,0.750854035,89.1296939599996,66.9233903099998,0.469275561499311,1.1421751822906,NA,0.659299934036239,1.13886563040173,NA,86.8932565963878,1.02573775516321,NA,57.43829814298,1.16513532736309,NA,0.711441827928074,1.00338070096178,NA,171.285579947249
2006-07-01,2006,7,3,31,138.48227,98.427605,9672.463239,3.17508403200001,4.46716999999999,0.710759616,98.2698221600001,69.84622103,2.75048046811389,1.15437432434388,NA,0.620736603959766,1.14502610522074,NA,98.19458775069,1.00076617674185,NA,60.8429380044156,1.14797580986196,NA,4.43200878078943,1.00793347237103,NA,1003.92537086157,22.127831,16.375793,1490.849901,0.528251387099999,0.713801000000002,0.740054143,91.0398599299996,67.3744254899999,0.456728968030136,1.1565970719535,NA,0.6439028078267,1.14932585167291,NA,87.1710793571067,1.04438146919168,NA,56.3636095783976,1.1953532783646,NA,0.710976768594152,1.00397232586296,NA,166.706073331
2006-08-01,2006,8,3,31,138.653359,94.553259,9237.674044,3.05010512900002,4.472689,0.681939909,97.6981030799999,66.6242355099998,2.7634817640884,1.10371820383847,NA,0.622842143118554,1.09488401922443,NA,98.308898219684,0.993786980113243,NA,61.1971930139609,1.08868123240229,NA,4.43711639683624,1.00801705431688,NA,1008.67084389227,22.202169,15.899495,1437.71101,0.512886935499999,0.716199000000003,0.716123500999999,90.4249480900002,64.7554304299998,0.464509699845548,1.10414687932359,NA,0.650039475289919,1.10166155783171,NA,87.4075682712625,1.03452080727579,NA,57.145442261954,1.13316876844109,NA,0.712902496190936,1.00462405984925,NA,169.546040443625
